id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zipcode,geometry
25937857,"Charming apt w/ killer cafés & bars, 20 min. dwtwn",73760975,Jay,,"Hawthorne, Barnaby Woods, Chevy Chase",38.955709999999996,-77.06992,Entire home/apt,50,1,10,2019-11-11,0.52,1,0,20015,POINT (-77.06992 38.95571)
25967051,Historic Rowhouse near Navy Yard,16750803,Xiao,,"Capitol Hill, Lincoln Park",38.87789,-76.98957,Private room,150,2,5,2018-08-26,0.26,2,0,20003,POINT (-76.98957 38.87789)
25968592,Private Dupont Studio w/Rooftop,78880061,Joseph,,"Dupont Circle, Connecticut Avenue/K Street",38.91757,-77.03733000000001,Entire home/apt,125,2,34,2019-10-21,1.65,1,0,20009,POINT (-77.03733000000001 38.91757)
25972923,Generous Petworth Home; 3 min Metro w/ pvt parking,21493494,RJ Management LLC,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93435,-77.0247,Entire home/apt,219,2,58,2020-02-09,2.87,15,38,20010,POINT (-77.0247 38.93435)
25974445,⭐️Extra Large 2BD/2BA on Top Floor + Gym,7636690,Rover,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90072,-77.01084,Entire home/apt,295,4,99,2020-02-20,4.81,5,191,20260,POINT (-77.01084 38.90072)
25977017,Home on the Hill - Sunny Apartment by the Metro!,8479126,Aya,,"Capitol Hill, Lincoln Park",38.88358,-76.98380999999999,Entire home/apt,110,2,84,2020-02-16,4.31,1,28,20003,POINT (-76.98380999999999 38.88358)
25988769,"Cozy, Friendly & Affordable",195344849,Nicole,,"Capitol View, Marshall Heights, Benning Heights",38.88885,-76.93863,Private room,30,1,178,2020-02-12,8.77,1,164,20019,POINT (-76.93863 38.88885)
25994846,"Spacious, Sunny Studio in Fantastic Location",35591034,Eva,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93594,-77.03742,Entire home/apt,92,4,1,2018-07-03,0.05,1,0,20010,POINT (-77.03742 38.93594)
26002321,Modern English Basement on Capitol Hill,49451598,Phoebe,,"Union Station, Stanton Park, Kingman Park",38.89258,-76.99327,Entire home/apt,120,2,18,2020-01-19,2.49,1,16,20003,POINT (-76.99327 38.89258)
26004413,Kingman Park 2BR near H St Corridor w/ Parking,7653159,Pip,,"Union Station, Stanton Park, Kingman Park",38.89529,-76.98179,Entire home/apt,90,2,79,2020-02-03,4.56,1,25,20002,POINT (-76.98179 38.89529)
26009213,Walking distance to the Monument/Museums!,195484941,Scott,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88208,-77.02034,Private room,90,3,41,2020-01-20,2.14,1,33,20004,POINT (-77.02034 38.88208)
26013461,Eco-friendly house in LeDroit Park,146056777,Monica,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91515,-77.01889,Private room,125,1,2,2018-06-23,0.1,1,0,20001,POINT (-77.01889 38.91515)
26032316,CENTRAL DC CLOSE TO IT ALL | W/D | PARKING,195644257,Christine,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90871,-77.01449000000001,Entire home/apt,137,1,97,2020-02-12,4.72,1,151,20001,POINT (-77.01449000000001 38.90871)
26033668,Captivating in Columbia Heights - Sleeps 11 in 4 bedrooms!,46630199,Home Sweet City,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.927640000000004,-77.02280999999999,Entire home/apt,299,3,40,2020-02-02,1.98,64,92,20010,POINT (-77.02280999999999 38.92764)
26067478,Ultra modern loft in historic building in NW DC,146977441,H. Dave,,"Brightwood Park, Crestwood, Petworth",38.96076,-77.02881,Entire home/apt,155,2,46,2020-02-13,2.33,1,312,20011,POINT (-77.02880999999999 38.96076)
26078296,Quiet and peaceful room. Free Parking. Near Metro.,12112782,Ryan,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.953359999999996,-76.98879000000001,Private room,50,2,22,2020-02-16,1.12,1,26,20017,POINT (-76.98879000000001 38.95336)
26080461,"Bright, New, Cozy Apartment",103819580,Semehar,,"Takoma, Brightwood, Manor Park",38.96107,-77.01863,Entire home/apt,87,3,21,2020-01-18,1.8,2,0,20011,POINT (-77.01863 38.96107)
26083314,Sunny One Bedroom Apartment Near H St. Corridor,4429843,Daria,,"Union Station, Stanton Park, Kingman Park",38.89638,-76.97671,Entire home/apt,65,2,2,2019-12-18,0.28,1,41,20002,POINT (-76.97671 38.89638)
26086275,Spacious DC Home Walkable to Everything,6778727,Elizabeth,,"Takoma, Brightwood, Manor Park",38.97047,-77.02279,Entire home/apt,107,5,0,,,1,0,20012,POINT (-77.02279 38.97047)
26102160,"Landrace Meeting Place, Cultivated Event Space",196190735,Purvis,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.933409999999995,-77.03194,Entire home/apt,800,1,13,2020-02-15,0.76,3,364,20010,POINT (-77.03194000000001 38.93340999999999)
26107195,"Quiet, Cozy, Convenient Home in Washington, DC",196239240,James,,"Capitol View, Marshall Heights, Benning Heights",38.88516,-76.94099,Entire home/apt,100,5,30,2019-12-31,1.53,1,319,20019,POINT (-76.94099 38.88516)
26108745,oak street sunroom,176304871,Jason,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934059999999995,-77.03147,Private room,48,6,9,2019-11-27,0.45,4,267,20010,POINT (-77.03147 38.93406)
26113114,TRAVEL INSPIRED URBAN RETREAT,39261377,Elena,,"Hawthorne, Barnaby Woods, Chevy Chase",38.9726,-77.05498,Entire home/apt,335,2,37,2019-12-27,1.91,1,115,20015,POINT (-77.05498 38.9726)
26117108,Getaway in Bloomingdale,9147142,Kurt,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91556,-77.01344,Entire home/apt,124,2,67,2019-12-12,3.34,1,65,20001,POINT (-77.01344 38.91556)
26118387,A Great Place For Your Entire Family To Stay,164462282,Elizabeth,,"Brookland, Brentwood, Langdon",38.933659999999996,-76.98643,Private room,200,3,3,2018-08-12,0.15,1,0,20017,POINT (-76.98643 38.93366)
26119812,* 2BD Townhome * Free Parking * Close to Bus/Train,15941770,Phillip,,"River Terrace, Benning, Greenway, Dupont Park",38.89127,-76.95938000000001,Entire home/apt,225,29,19,2019-08-12,1.04,3,46,20019,POINT (-76.95938000000001 38.89127)
26124265,"Newly renovated Capitol Hill 3 lvl, 4 BR rowhouse!",63140065,Emily,,"Union Station, Stanton Park, Kingman Park",38.8932,-76.98018,Entire home/apt,149,3,4,2019-08-17,0.21,2,0,20003,POINT (-76.98018 38.8932)
26130196,Spacious 1 BR Modern English Basement in Cap Hill,91710874,Sapna,,"Union Station, Stanton Park, Kingman Park",38.897859999999994,-76.99325,Entire home/apt,100,2,49,2019-12-21,3.17,1,93,20002,POINT (-76.99325 38.89785999999999)
26133778,"Private, Clean and Spacious Trinidad Suite",20668969,Ansar,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90635,-76.98935,Entire home/apt,69,2,113,2020-02-10,5.7,1,11,20002,POINT (-76.98935 38.90635)
26136688,Quiet room off of 14th street in Columbia Heights!,3734256,Talya,,"Brightwood Park, Crestwood, Petworth",38.93796,-77.03161,Private room,50,2,3,2019-10-26,0.36,1,53,20010,POINT (-77.03161 38.93796)
26138340,"DC House Close to Metro, Catholic Univ. and UMD",43770579,Harrison,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95615,-76.99859000000001,Private room,32,1,42,2019-02-15,2.54,2,0,20017,POINT (-76.99859000000001 38.95615)
26156490,Book Filled Urban Hideaway,23246212,Carl,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91218,-77.01054,Entire home/apt,165,2,3,2019-08-05,0.16,2,50,20001,POINT (-77.01054000000001 38.91218)
